》科技类	sci-fi class
—————物品 item—————
铜锭	copper ingot
铜粉	copper powder
铝锭	aluminum ingot
铝粉	aluminum powder
铁粉	iron powder
铜制扳手	copper wrench
终端平板	pda
铜制剑头	copper sword part
铜制斧头	copper axe part
铜制镐头	copper pickaxe part
铜制铲头	copper shovel part
铜制锄头	copper hoe part
铜剑	copper sword
铜斧	copper axe
铜镐	copper pickaxe
铜铲	copper shovel
铜锄	copper hoe
铝剑	aluminum sword
铝斧	aluminum axe
铝镐	aluminum pickaxe
铝铲	aluminum shovel
铝锄	aluminum hoe
铁板	iron plate
铜板	copper plate
铝板	aluminium plate
碳纤维	carbon fibre
碳棍	carbon stick
碳板	carbon plate
加固铝剑	ruggedized aluminum sword
加固铝斧	ruggedized aluminum axe
加固铝镐	ruggedized aluminum pickaxe
加固铝铲	ruggedized aluminum shovel
加固铝锄	ruggedized aluminum hoe
铁块	iron cube
铜块	copper cube
铝块	aluminum cube
锡锭	tin ingot
锡粉	tin powder
锡板	tin plate
锡块	tin cube
铅锭	lead ingot
铅粉	lead powder
铅板	lead plate
铅块	lead cube
碳粉	carbon powder
银锭	silver ingot
银粉	silver powder
银板	silver plate
银块	silver cube
小石块	tiny rock
15730051：碎石块	stone chippings
15730052：富矿碎石	rich ore stone chippings
15730053：草茎	grass stem
15730054：小块燧石	tiny flint
15730055：石锭	stone ingot
15730056：石板	stone plate
15730057：土壤堆	soil heaps
15730058：粗制小刀	rough knife
15730059：粗制短斧	rough hatchet
15730060：骨头碎片	bone fragments
15730061：藤条	rattan
15730062：空白蓝图	empty blueprint
15730063：蓝图	blueprint
15730064：金粉	gold powder

—————机器 machine—————
15731000：测试方块		test block		(1)
15731001：基础工作台	basic crafting table
15731002：研究台		research station
15731003：基础锻造台	basic forging table
15731004：木制筛子		wooden sieve
15731005：私人箱子		private box
15731006：初阶工作台	primary stage crafting table
15731007：强化木制筛子	reinforced wooden sieve
15731008：基础熔炉		basic furnace
15731009：基础熔炉（开）	basic furnace(lit)
15731010：高阶工作台	high stage crafting table
—————方块 block—————
15732000：测试矿物		test ore
15732001：被遗忘的铁矿	forgotten iron ore
—————GUI—————
15735000：测试板		test board
15735001：基础工作台面板	basic crafting table board
15735002：研究台面板	research station board
15735003：基础锻造台面板	basic forging table board
15735004：木制筛子面板	wooden sieve board

15735006：初阶工作台面板	primary stage crafting table board

15736001：研究台-刷新	research station-refresh
15736002：研究台-常见-材料	research station-common-material
15736003：箭头-向下		arrow-down
》魔法类	magic class
—————物品 item—————
15733000：
15733001：浑浊的黑曜石碎片	turbid fragment of obsidian
15733002：纯净的黑曜石碎片	pure fragment of obsidian
15733003：浑浊的黑曜石块	turbid obsidian
15733004：纯净的黑曜石快	pure obsidian
15733005：长木棍		wooden staff
15733006：红宝石		ruby
15733007：黄宝石		topaz
15733008：蓝宝石		sapphire
15733009：拼图		jigsaw puzzle
15733010：下界疣药浆	nether wart slurries
15733010：诡异疣药浆	warped wart slurries
—————方块 block—————
》玩笑类	joke class
—————物品 item—————
15736000：
15736001：诺基亚	nokia
